S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy
1,United States,19687287,0.2,934.3,5.19,1.37,289.97,63414,12218,13
2,China,12791553,0.13,138.7,5.42,1.43,302.87,10435,1925,14
3,India,4443000,0.05,51.4,5.05,1.33,281.93,1901,376,7
4,Japan,4012877,0.04,481.5,4.69,1.24,262.05,40193,8570,18
5,Russian Federation,3631287,0.04,383.2,3.41,0.9,190.56,10127,2970,8
6,Saudi Arabia,3302000,0.03,1560.2,2.35,0.62,131.34,20110,8557,5
7,Brazil,2984000,0.03,221.9,5.36,1.42,299.27,6797,1268,6
8,Korea (South),2605440,0.03,783.4,6.09,1.61,340.52,31632,5194,7
9,Canada,2486301,0.03,1047.6,6.76,1.79,377.74,43258,6399,6
10,Germany,2383393,0.03,444.5,7.65,2.02,427.44,46208,6040,14
11,Mexico,2052607,0.02,255.1,4.36,1.15,243.44,8329,1910,7
12,"Iran, Islamic Republic of",1803999,0.02,347.6,0.2,0.05,11.21,2423,12115,35
13,France,1705568,0.02,404.3,8.27,2.19,462.13,39030,4719,12
14,Indonesia,1623000,0.02,95.1,4.48,1.18,250.42,3870,864,9
15,United Kingdom,1583896,0.02,366.2,8.38,2.22,468.47,41125,4908,13
16,Singapore,1357000,0.01,3679.5,8.71,2.3,486.87,59798,6865,2
17,Italy,1236628,0.01,312.5,8.01,2.12,447.53,31714,3959,13
18,Spain,1290063,0.01,424.1,8.35,2.21,466.57,27063,3241,8
19,Thailand,1302000,0.01,289.4,5.7,1.51,318.73,7189,1261,4
20,Australia,1114645,0.01,704.3,5.22,1.38,291.45,51693,9903,14
21,Republic of China,981203,0.01,636.9,3.94,1.04,220.17,25936,6583,10
22,Turkey,941861,0.01,180.9,6.06,1.6,338.4,8536,1409,8
23,Netherlands,937098,0.01,846,9.33,2.47,521.35,52397,5616,7
24,Egypt,877000,0.01,142.3,1.97,0.52,110.19,3548,1801,13
25,United Arab Emirates,896000,0.01,1467.3,4.15,1.1,232.02,36285,8743,6
26,Iraq,857000,0.01,358.9,1.95,0.51,108.71,4158,2132,6
